id,value
UK Food Trends.Other cereals and cereal products.Other cereals.-.-,
UK Food Trends.Beverages.-.-.-,
UK Food Trends.Beverages.Tea.-.-,
UK Food Trends.Beverages.Coffee beans and ground coffee.-.-,
UK Food Trends.Beverages.Instant coffee.-.-,
UK Food Trends.Beverages.Coffee essences.-.-,
UK Food Trends.Beverages.Tea and coffee from takeaway.-.-,
UK Food Trends.Beverages.Cocoa and chocolate drinks.-.-,
UK Food Trends.Beverages.Malt drinks and chocolate versions of malted drinks.-.-,
UK Food Trends.Other food and drink.-.-.-,
UK Food Trends.Other food and drink.Mineral or spring waters.-.-,
UK Food Trends.Other food and drink.Baby foods.-.-,
UK Food Trends.Other food and drink.Soups - canned or cartons.-.-,
UK Food Trends.Other food and drink.Soups - dehydrated or powdered.-.-,
UK Food Trends.Other food and drink.Soups - from takeaway.-.-,
UK Food Trends.Other food and drink.Spreads and dressings.-.-,
UK Food Trends.Other food and drink.Spreads and dressings.Salad dressings.-,
UK Food Trends.Other food and drink.Spreads and dressings.Other spreads and dresssings.-,
UK Food Trends.Other food and drink.Pickles and sauces.-.-,
UK Food Trends.Other food and drink.Pickles and sauces.Pickles.-,
UK Food Trends.Other food and drink.Pickles and sauces.Sauces.-,
UK Food Trends.Other food and drink.Pickles and sauces.Takeaway sauces and mayonnnaise.-,
UK Food Trends.Other food and drink.Stock cubes and meat and yeast extracts.-.-,
UK Food Trends.Other food and drink.Jelly squares or crystals.-.-,
UK Food Trends.Other food and drink.Ice cream tub or block.-.-,
UK Food Trends.Other food and drink.Ice cream products including takeaways.-.-,
UK Food Trends.Other food and drink.Ice cream products including takeaways.Ice cream cornets choc-ices lollies with ice cream.-,
UK Food Trends.Other food and drink.Ice cream products including takeaways.Ice lollies sorbet frozen mousse frozen yoghurt.-,
UK Food Trends.Other food and drink.Ice cream products including takeaways.Takeaway ice cream ice cream products milkshakes.-,
UK Food Trends.Other food and drink.Soya and novel protein foods.-.-,
UK Food Trends.Other food and drink.Salt.-.-,
UK Food Trends.Other food and drink.Other takeaway food brought home.-.-,
UK Food Trends.Other food and drink.Meals on wheels - items not specified.-.-,
UK Food Trends.Soft drinks.-.-.-,
UK Food Trends.Soft drinks.Soft drinks concentrated not low calorie (h).-.-,
UK Food Trends.Soft drinks.Soft drinks not concentrated  not low calorie.-.-,
UK Food Trends.Soft drinks.Soft drinks concentrated low calorie (h).-.-,
UK Food Trends.Soft drinks.Soft drinks not concentrated low calorie.-.-,
UK Food Trends.Confectionery.-.-.-,
UK Food Trends.Confectionery.Chocolate bars - solid.-.-,
UK Food Trends.Confectionery.Chocolate bars - filled.-.-,
UK Food Trends.Confectionery.Chewing gum.-.-,
UK Food Trends.Confectionery.Mints and boiled sweets.-.-,
UK Food Trends.Confectionery.Mints and boiled sweets.Mints.-,
UK Food Trends.Confectionery.Mints and boiled sweets.Boiled sweets.-,
UK Food Trends.Confectionery.Fudges toffees caramels.-.-,
UK Food Trends.Confectionery.Takeaway confectionery.-.-,
UK Food Trends.Alcoholic drinks.-.-.-,
UK Food Trends.Alcoholic drinks.Beers.-.-,
UK Food Trends.Alcoholic drinks.Lagers and continental beers.-.-,
UK Food Trends.Alcoholic drinks.Ciders and perry.-.-,
UK Food Trends.Alcoholic drinks.Wine and champagne.-.-,
UK Food Trends.Alcoholic drinks.Wine and champagne.Champagne sparkling wines and wine with mixer.-,
UK Food Trends.Alcoholic drinks.Wine and champagne.Table wine.-,
UK Food Trends.Alcoholic drinks.Spirits with mixer.-.-,
UK Food Trends.Alcoholic drinks.Fortified wines.-.-,
UK Food Trends.Alcoholic drinks.Spirits.-.-,
UK Food Trends.Alcoholic drinks.Liqueurs and cocktails.-.-,
UK Food Trends.Alcoholic drinks.Alcopops.-.-,
UK Food Trends,
UK Food Trends.Milk and milk products excluding cheese,
UK Food Trends.Cheese,
UK Food Trends.Carcase meat,
UK Food Trends.Carcase meat,
UK Food Trends.Non-carcase meat and meat products,
UK Food Trends.Fish,
UK Food Trends.Fats,
UK Food Trends.Sugar and preserves,
UK Food Trends.Fresh and processed potatoes,
UK Food Trends.Fresh and processed vegetables excluding potatoes,
UK Food Trends.Fresh and processed fruit,
UK Food Trends.Bread,
UK Food Trends.Cakes buns and pastries,
UK Food Trends.Biscuits and crispbreads,
UK Food Trends.Other cereals and cereal products,
UK Food Trends.Beverages,
UK Food Trends.Other food and drink,
UK Food Trends.Soft drinks,
UK Food Trends.Confectionery,
UK Food Trends.Milk and milk products excluding cheese.Liquid wholemilk including school and welfare,
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream,
